date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2020-12-27,24362,24353,9,24356,6,0,24353,9
2020-12-28,18101,18036,65,42457,6,0,42389,74
2020-12-29,50627,49974,653,93083,6,1,92363,727
2020-12-30,64056,64024,32,157139,6,1,156387,759
2020-12-31,50034,49947,87,207173,6,1,206334,846
2021-01-01,25538,25532,6,232702,12,4,231866,852
2021-01-02,48091,48015,76,280793,12,4,279881,928
2021-01-03,22552,22548,4,303343,14,4,302429,932
2021-01-04,46054,46003,51,349396,15,4,348432,983
2021-01-05,52714,52627,87,402109,16,4,401059,1070
2021-01-06,63128,63040,88,465228,22,7,464099,1158
2021-01-07,54837,54817,20,520057,27,9,518916,1179
2021-01-08,62766,62663,103,582771,78,10,581579,1282
2021-01-09,60774,60630,144,643541,81,11,642209,1426
2021-01-10,36033,35919,114,679565,90,11,678128,1540
2021-01-11,68193,68138,55,747742,104,13,746266,1595
2021-01-12,79019,78959,60,826741,121,16,825225,1655
2021-01-13,111988,111785,203,937552,1298,16,937010,1858
2021-01-14,84109,83897,212,1016503,6456,16,1020907,2070
2021-01-15,91575,90657,918,1102782,11733,35,1111564,2988
2021-01-16,58009,56790,1219,1159108,13415,36,1168354,4207
2021-01-17,47799,30793,17006,1205643,14677,37,1199147,21214
2021-01-18,82835,67253,15582,1284221,18933,38,1266400,36796
2021-01-19,119642,83598,36044,1400047,22698,89,1349998,72840
2021-01-20,132518,78934,53584,1529722,25537,93,1428932,126424
2021-01-21,105294,64468,40825,1632197,28354,95,1493400,167249
2021-01-22,102155,68683,33472,1732148,30545,108,1562083,200721
2021-01-23,86889,40439,46450,1818679,30900,111,1602522,247171
2021-01-24,47739,25676,22063,1866215,31099,115,1628198,269234
2021-01-25,90952,52220,38732,1955713,32550,118,1680418,307966
2021-01-26,98176,50575,47601,2052442,33990,125,1730993,355567
2021-01-27,109300,50922,58378,2159942,35781,133,1781915,413946
2021-01-28,92420,46805,45615,2250730,37410,136,1828720,459561
2021-01-29,107536,49808,57728,2356714,38891,207,1878528,517289
2021-01-30,87948,34582,53366,2443779,39771,210,1913110,570655
2021-01-31,57102,25751,31351,2500498,40149,215,1938861,602006
2021-02-01,119993,58238,61755,2618224,42361,270,1997099,663761
2021-02-02,132649,65488,67161,2747725,45488,291,2062587,730922
2021-02-03,162762,64545,98217,2904064,51885,317,2127132,829139
2021-02-04,134403,62060,72342,3032562,57782,325,2189192,901481
2021-02-05,147408,69348,78060,3173492,64252,333,2258540,979541
2021-02-06,94055,45573,48482,3264912,66886,334,2304113,1028023
2021-02-07,53513,28270,25243,3316088,69220,336,2332383,1053267
2021-02-08,109357,53023,56334,3421579,73055,366,2385406,1109602
2021-02-09,134447,60214,74232,3552400,76495,552,2445620,1183834
2021-02-10,155059,77756,77303,3694780,80784,8942,2523376,1261137
2021-02-11,144232,75517,68715,3815312,88092,25332,2598893,1329854
2021-02-12,155940,80219,75721,3947476,97462,39735,2679112,1405578
2021-02-13,107534,62040,45494,4038330,100724,53152,2741152,1451073
2021-02-14,65317,39582,25735,4093867,103205,60450,2780734,1476809
2021-02-15,125644,70115,55529,4198644,108525,75996,2850849,1532339
2021-02-16,134694,78343,56351,4307431,114738,95689,2929192,1588691
2021-02-17,151649,95305,56344,4430057,122796,116653,3024497,1645036
2021-02-18,144750,91495,53254,4542563,131083,140605,3115992,1698295
2021-02-19,158945,103071,55874,4663887,141122,168186,3219063,1754170
2021-02-20,112319,76094,36225,4750376,145598,189539,3295157,1790396
2021-02-21,85910,57650,28260,4816858,149244,205320,3352807,1818657
2021-02-22,156310,98024,58286,4940344,158315,229072,3450831,1876944
2021-02-23,170572,110065,60507,5074563,165582,258157,3560896,1937452
2021-02-24,176553,117212,59340,5206515,173244,295095,3678108,1996793
2021-02-25,189755,130479,59275,5338378,180031,346200,3808587,2056068
2021-02-26,213752,146223,67528,5480187,188908,409266,3954810,2123596
2021-02-27,147917,108167,39750,5572852,192995,460430,4062977,2163347
2021-02-28,103261,79137,24123,5634339,196959,498238,4142114,2187472
2021-03-01,198950,149004,49946,5765020,206670,556796,4291118,2237418
2021-03-02,219786,167616,52170,5905681,216754,625837,4458734,2289588
2021-03-03,248251,177559,70692,6064028,231927,700568,4636293,2360280
